,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,price,1h%,24h%,7d%,30d%,60d%,90d%
0,1,Bitcoin,BTC,bitcoin,10476,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19494150.0,19494150.0,False,,1,,,,2023-09-24T00:34:00.000Z,26586.317554505178,7314643839.649791,-30.2764,0.03829303,-0.04244988,0.25474373,1.74007745,-8.82734589,-12.9301335,518277662355.1571,49.1269,558312668644.61,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,26586.317554505178,0.03829303,-0.04244988,0.25474373,1.74007745,-8.82734589,-12.9301335
1,1027,Ethereum,ETH,ethereum,7430,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120228897.04677047,120228897.04677047,True,,2,,,,2023-09-24T00:34:00.000Z,1594.312055582827,2019434339.7830434,-41.3095,0.13026263,-0.15115074,-2.06050679,-3.84145756,-14.08218303,-16.08554824,191682379991.0927,18.1693,191682379991.09,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,1594.312055582827,0.13026263,-0.15115074,-2.06050679,-3.84145756,-14.08218303,-16.08554824
2,825,Tether USDt,USDT,tether,62728,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83203741768.41498,86426198725.00061,True,,3,,,,2023-09-24T00:34:00.000Z,1.0000993744191184,11937046479.778679,-27.0759,-0.00817359,-0.01167237,-0.01633549,0.05000475,0.00563288,-0.02483916,83212010091.92169,7.8895,86434787278.3,,2023-09-24T00:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-24 03:35:45.918479,1.0000993744191184,-0.00817359,-0.01167237,-0.01633549,0.05000475,0.00563288,-0.02483916
3,1839,BNB,BNB,bnb,1635,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153847448.4919702,153847448.4919702,False,,4,,,,2023-09-24T00:34:00.000Z,210.5992588595406,214773019.8323272,-21.8029,0.02701025,-0.42284002,-1.82523883,-3.70996333,-11.35939463,-11.94620835,32400158629.840275,3.0719,32400158629.84,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,210.5992588595406,0.02701025,-0.42284002,-1.82523883,-3.70996333,-11.35939463,-11.94620835
4,52,XRP,XRP,xrp,1097,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53245240268.0,99988414766.0,False,,5,,,,2023-09-24T00:34:00.000Z,0.5092237827903767,383246276.43500113,-45.9443,0.3017405,-0.55210479,2.36000939,-1.75235748,-27.97929766,3.95326128,27113742664.85345,2.5701,50922378279.04,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,0.5092237827903767,0.3017405,-0.55210479,2.36000939,-1.75235748,-27.97929766,3.95326128
5,3408,USD Coin,USDC,usd-coin,14208,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25772021490.820164,25772021490.820164,False,,6,,,,2023-09-24T00:34:00.000Z,1.0000359501612506,1753592146.7957387,-31.2093,-0.00426278,-0.02135306,-0.00882167,0.00237747,-0.00478973,0.01485608,25772947999.148514,2.443,25772947999.15,,2023-09-24T00:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-24 03:35:45.918479,1.0000359501612506,-0.00426278,-0.02135306,-0.00882167,0.00237747,-0.00478973,0.01485608
6,74,Dogecoin,DOGE,dogecoin,800,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141131276383.7052,141131276383.7052,True,,7,,,,2023-09-24T00:34:00.000Z,0.06150295671466352,117633138.09870596,-13.5615,0.03092383,-0.25752667,-0.68872778,-2.24403573,-24.27615586,-7.80893367,8679990782.512236,0.8228,8679990782.51,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,0.06150295671466352,0.03092383,-0.25752667,-0.68872778,-2.24403573,-24.27615586,-7.80893367
7,2010,Cardano,ADA,cardano,938,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35118378659.086,36198584811.424,False,,8,,,,2023-09-24T00:34:00.000Z,0.246058944146786,67592808.69332004,-41.6322,0.0145641,0.15257514,-1.2038176,-7.14939464,-18.82877992,-15.60916072,8641191173.001722,0.8191,11072652486.61,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,0.246058944146786,0.0145641,0.15257514,-1.2038176,-7.14939464,-18.82877992,-15.60916072
8,5426,Solana,SOL,solana,530,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,412617418.2334606,558106678.6434239,True,,9,,,,2023-09-24T00:34:00.000Z,19.5575506791617,95124911.14834976,-43.1457,0.57151913,0.1270677,3.04066718,-6.51798226,-15.83470323,15.85810585,8069786068.205765,0.7652,10915199651.95,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,19.5575506791617,0.57151913,0.1270677,3.04066718,-6.51798226,-15.83470323,15.85810585
9,11419,Toncoin,TON,toncoin,150,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,10,3414166606.0,7838014442.475407,,2023-09-24T00:34:00.000Z,2.295732852843505,24431734.81471892,-34.3885,-0.18721134,-0.23936899,-5.2500424,62.62840639,61.78194522,57.26886268,7878707412.9629135,0.7469,11587845939.38,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,2.295732852843505,-0.18721134,-0.23936899,-5.2500424,62.62840639,61.78194522,57.26886268
